state,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33
AL,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2.39,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,0.26,0.26,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0.25,0.25,0.5,0.5,0.4,0.4,0.4,0.4,0.9,1.5,1.5,1.5,1.5,0.5,0.5,0.5,1.5,1.5,1.5,1.75,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,4.9,2.7,2.7,2.7,8.4
FL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,0.25,0.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,0.31,0.21,0.2,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,0.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,0.15,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0.65,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,1.35,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,3.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0.26,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0.25,0.25,0.5,0.5,0.4,0.4,0.4,0.4,0.9,1.5,1.5,1.5,1.5,0.5,0.5,0.5,1.5,1.5,1.5,1.75,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,4.9,2.7,2.7,2.7,8.4
SC,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0.37,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,0.2,0.2,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,1.3,0.55,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,0.25,0.5,0.4,0.9,1.5,0.5,1.5,1.5,1.75,1.7,1.7,1.5,1.5,1.5,4.9,1.5,2.7,2.7,2.7,14.9,8.4,,,,,,,,,,,,,
DC,0.24,0.24,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
